날짜,성별,연령대,맛,컵사이즈,개수,매출
2025-05-14,여,30대,커피,라지,2,9200
2025-05-15,남,40대,딸기,스몰,1,3000
2025-05-15,여,30대,초코,라지,1,4700
2025-05-15,남,20대,딸기,미디엄,4,14800
2025-05-16,여,20대,바닐라,스몰,2,5600
2025-05-16,여,50대이상,딸기,미디엄,2,7400
2025-05-16,여,20대,바닐라,미디엄,1,3500
2025-05-17,남,30대,딸기,미디엄,2,7400
2025-05-17,남,20대,초코,미디엄,2,7800
2025-05-19,여,40대,커피,스몰,1,3100
2025-05-19,여,30대,딸기,스몰,1,3000
2025-05-20,남,40대,딸기,미디엄,3,11100
2025-05-22,남,30대,커피,미디엄,2,7600
2025-05-22,여,40대,딸기,라지,2,9000
2025-05-23,여,30대,바닐라,라지,2,8600
2025-05-24,남,30대,초코,라지,4,18800
2025-05-24,남,20대,녹차,스몰,3,9900
2025-05-25,여,10대,딸기,미디엄,2,7400
2025-05-25,여,20대,바닐라,스몰,1,2800
2025-05-26,남,10대,녹차,스몰,1,3300
2025-05-26,여,40대,딸기,스몰,2,6000
2025-05-27,여,30대,녹차,미디엄,1,4000
2025-05-27,남,10대,초코,미디엄,2,7800
2025-05-27,여,40대,초코,미디엄,1,3900
2025-05-27,남,20대,딸기,미디엄,1,3700
2025-05-28,남,30대,커피,스몰,2,6200
2025-05-28,여,40대,녹차,스몰,1,3300
2025-05-28,남,30대,녹차,미디엄,2,8000
2025-05-28,남,20대,커피,스몰,2,6200
2025-05-30,여,30대,커피,라지,1,4600
2025-05-31,남,30대,초코,스몰,1,3200
2025-05-31,여,20대,바닐라,라지,1,4300
2025-05-31,남,20대,바닐라,미디엄,2,7000
2025-06-01,여,20대,녹차,미디엄,1,4000
2025-06-01,남,20대,바닐라,라지,3,12900
2025-06-01,남,30대,초코,스몰,1,3200
2025-06-01,여,40대,딸기,스몰,2,6000
2025-06-02,남,50대이상,초코,미디엄,1,3900
2025-06-03,여,20대,딸기,미디엄,2,7400
2025-06-04,남,30대,커피,스몰,1,3100
2025-06-06,여,40대,초코,미디엄,1,3900
2025-06-07,여,40대,초코,스몰,3,9600
2025-06-07,여,20대,초코,스몰,1,3200
2025-06-08,남,30대,녹차,스몰,2,6600
2025-06-09,남,20대,커피,스몰,1,3100
2025-06-09,남,20대,딸기,미디엄,2,7400
2025-06-09,남,10대,딸기,미디엄,2,7400
2025-06-09,남,30대,초코,라지,2,9400
2025-06-09,남,20대,딸기,스몰,2,6000
2025-06-10,남,10대,초코,스몰,1,3200
2025-06-10,여,30대,초코,라지,1,4700
2025-06-10,남,20대,녹차,미디엄,1,4000
2025-06-10,여,20대,초코,미디엄,1,3900
2025-06-11,남,20대,커피,라지,2,9200
2025-06-11,남,20대,딸기,미디엄,4,14800
2025-06-12,여,40대,바닐라,미디엄,1,3500
2025-06-12,남,40대,딸기,스몰,3,9000
2025-06-12,여,30대,커피,미디엄,1,3800
2025-06-13,여,20대,커피,스몰,2,6200
2025-06-13,여,40대,초코,스몰,3,9600
2025-06-13,남,30대,바닐라,스몰,1,2800
2025-06-14,남,40대,초코,스몰,1,3200
2025-06-15,남,40대,딸기,미디엄,2,7400
2025-06-16,남,30대,녹차,스몰,2,6600
2025-06-17,남,20대,커피,라지,3,13800
2025-06-18,남,40대,초코,라지,4,18800
2025-06-19,여,40대,초코,미디엄,3,11700
2025-06-19,남,20대,커피,미디엄,1,3800
2025-06-20,여,20대,초코,스몰,1,3200
2025-06-21,남,40대,초코,스몰,2,6400
2025-06-21,남,20대,녹차,스몰,2,6600
2025-06-21,남,20대,녹차,라지,2,9600
2025-06-21,남,30대,초코,미디엄,1,3900
2025-06-24,여,10대,바닐라,미디엄,2,7000
2025-06-24,여,30대,딸기,스몰,1,3000
2025-06-24,남,30대,녹차,미디엄,2,8000
2025-06-25,남,20대,딸기,라지,2,9000
2025-06-27,여,10대,커피,스몰,3,9300
2025-06-28,남,10대,바닐라,라지,2,8600
2025-06-29,남,30대,바닐라,미디엄,1,3500
2025-06-29,여,10대,딸기,미디엄,3,11100
2025-07-02,남,30대,녹차,미디엄,1,4000
2025-07-03,여,50대이상,딸기,스몰,2,6000
2025-07-03,남,20대,바닐라,스몰,1,2800
2025-07-04,남,20대,커피,미디엄,2,7600
2025-07-04,여,10대,초코,스몰,1,3200
2025-07-05,여,40대,커피,라지,2,9200
2025-07-06,여,30대,딸기,미디엄,2,7400
2025-07-06,여,20대,녹차,스몰,2,6600
2025-07-06,여,40대,커피,미디엄,1,3800
2025-07-06,남,20대,초코,미디엄,2,7800
2025-07-06,남,50대이상,딸기,미디엄,2,7400
2025-07-07,여,20대,초코,미디엄,1,3900
2025-07-07,남,20대,바닐라,미디엄,3,10500
2025-07-07,여,10대,딸기,스몰,2,6000
2025-07-07,여,20대,커피,라지,1,4600
2025-07-08,여,30대,커피,미디엄,3,11400
2025-07-08,남,40대,바닐라,미디엄,1,3500
2025-07-09,여,20대,바닐라,스몰,2,5600
2025-07-09,여,50대이상,딸기,스몰,1,3000
2025-07-09,여,20대,초코,미디엄,2,7800
2025-07-09,남,40대,바닐라,미디엄,1,3500
2025-07-09,남,20대,커피,스몰,1,3100
2025-07-09,여,30대,딸기,미디엄,3,11100
2025-07-09,남,40대,딸기,라지,1,4500
2025-07-09,여,20대,초코,라지,2,9400
2025-07-10,남,20대,녹차,스몰,1,3300
2025-07-11,여,20대,녹차,스몰,3,9900
2025-07-12,남,20대,딸기,라지,1,4500
2025-07-13,남,10대,초코,미디엄,1,3900
2025-07-14,남,20대,녹차,미디엄,2,8000
2025-07-14,남,20대,커피,스몰,1,3100
2025-07-16,여,10대,바닐라,스몰,2,5600
2025-07-17,남,30대,초코,스몰,2,6400
2025-07-17,남,40대,바닐라,라지,2,8600
2025-07-17,여,30대,녹차,미디엄,2,8000
2025-07-18,여,20대,커피,스몰,1,3100
2025-07-18,여,20대,초코,스몰,1,3200
2025-07-19,여,30대,바닐라,미디엄,1,3500
2025-07-19,여,30대,딸기,스몰,3,9000
2025-07-19,남,10대,커피,라지,4,18400
2025-07-20,여,50대이상,커피,라지,1,4600
2025-07-20,여,10대,딸기,스몰,1,3000
2025-07-21,여,30대,녹차,스몰,1,3300
2025-07-22,여,30대,초코,미디엄,4,15600
2025-07-22,남,30대,딸기,라지,4,18000
2025-07-23,남,30대,커피,미디엄,1,3800
2025-07-23,남,30대,커피,스몰,2,6200
2025-07-24,여,20대,딸기,라지,2,9000
2025-07-24,남,20대,초코,미디엄,2,7800
2025-07-25,여,20대,녹차,미디엄,1,4000
2025-07-25,여,10대,커피,스몰,3,9300
2025-07-25,여,20대,딸기,미디엄,4,14800
2025-07-26,여,50대이상,커피,라지,1,4600
2025-07-26,여,50대이상,딸기,미디엄,4,14800
2025-07-27,여,50대이상,초코,미디엄,2,7800
2025-07-27,여,30대,바닐라,미디엄,1,3500
2025-07-27,남,10대,녹차,라지,1,4800
2025-07-27,남,20대,바닐라,스몰,3,8400
2025-07-27,남,30대,초코,미디엄,2,7800
2025-07-30,남,20대,초코,미디엄,2,7800
2025-08-01,여,50대이상,녹차,라지,2,9600
2025-08-02,여,10대,딸기,스몰,2,6000
2025-08-02,여,10대,녹차,라지,2,9600
2025-08-02,남,30대,녹차,미디엄,2,8000
2025-08-03,여,40대,녹차,라지,1,4800
2025-08-03,여,30대,초코,라지,2,9400
2025-08-04,여,10대,커피,스몰,4,12400
2025-08-04,여,40대,초코,스몰,1,3200
2025-08-04,여,40대,딸기,스몰,3,9000
2025-08-05,여,20대,딸기,라지,2,9000
2025-08-05,여,20대,바닐라,미디엄,1,3500
2025-08-05,여,30대,커피,미디엄,2,7600
2025-08-05,남,20대,커피,라지,2,9200
2025-08-06,남,20대,딸기,라지,1,4500
2025-08-06,남,20대,바닐라,스몰,1,2800
2025-08-06,남,50대이상,커피,라지,1,4600
2025-08-07,남,30대,초코,스몰,3,9600
2025-08-07,여,30대,커피,미디엄,1,3800
2025-08-08,남,20대,바닐라,미디엄,1,3500
2025-08-08,남,20대,딸기,라지,1,4500
2025-08-08,여,20대,녹차,스몰,1,3300
2025-08-09,여,20대,커피,미디엄,2,7600
2025-08-10,남,20대,녹차,스몰,1,3300
2025-08-10,여,20대,바닐라,미디엄,2,7000
2025-08-12,여,30대,커피,스몰,2,6200
2025-08-13,여,30대,딸기,스몰,1,3000
2025-08-13,남,10대,커피,미디엄,1,3800
2025-08-13,여,20대,바닐라,스몰,1,2800
2025-08-15,여,20대,바닐라,미디엄,1,3500
2025-08-15,여,30대,커피,스몰,1,3100
2025-08-16,남,40대,딸기,스몰,2,6000
2025-08-16,여,20대,바닐라,스몰,1,2800
2025-08-17,남,50대이상,바닐라,스몰,4,11200
2025-08-17,남,10대,바닐라,스몰,1,2800
2025-08-17,남,10대,바닐라,미디엄,2,7000
2025-08-19,여,30대,녹차,스몰,1,3300
2025-08-19,여,30대,녹차,미디엄,1,4000
2025-08-19,남,20대,커피,미디엄,1,3800
2025-08-19,남,50대이상,딸기,미디엄,2,7400
